model,checkpoint,vanilla_rmse,vanilla_mape,asian_rmse,asian_mape,marginal_w1_mean,marginal_w1_max,total_return_w1,abs_total_return_w1,sig_w1_mean
onpolicy_flowmap/nfe120_h128_s30_e1_BEST,release/checkpoints/onpolicy_flowmap/nfe120_h128_s30_e1_BEST/best.pt,0.1415774482601968,0.11896419408388219,0.07865053470959453,0.08220029318455074,0.0002865161227114413,0.0006434018374178151,0.005343533532817957,0.043801820278959805,0.0012854834988610473
onpolicy_flowmap/nfe120_h252_s30_e1,release/checkpoints/onpolicy_flowmap/nfe120_h252_s30_e1/best.pt,0.16218706063586952,0.11388038217695995,0.09481982719413115,0.07838311541145315,0.00030114724517067075,0.0006449765917369689,0.00626471050804538,0.04283355980729655,0.0014173971063488296
onpolicy_flowmap/nfe120_h64_s15_e1,release/checkpoints/onpolicy_flowmap/nfe120_h64_s15_e1/best.pt,0.11319753759108374,0.10833527225994677,0.06941677990486708,0.07631088694719343,0.00030016732569926086,0.0006406776524502959,0.004773171785691693,0.04497967848754009,0.0011684777055851554
onpolicy_flowmap/nfe120_h64_s30_e1,release/checkpoints/onpolicy_flowmap/nfe120_h64_s30_e1/best.pt,0.133093494404417,0.11755911970653109,0.0760131120239473,0.08146597946860695,0.000294096809975691,0.0006423037362300704,0.00527631743227198,0.05051382882692542,0.0012677164936899111
onpolicy_flowmap/nfe120_h64_s30_e2,release/checkpoints/onpolicy_flowmap/nfe120_h64_s30_e2/best.pt,0.10712973717979589,0.1122435661971121,0.059777813688066665,0.07856627434499687,0.0002930404735343614,0.0006395775181428064,0.0047044389600496075,0.04332662022663471,0.001168287635221546
onpolicy_flowmap/nfe120_h64_s30_e4,release/checkpoints/onpolicy_flowmap/nfe120_h64_s30_e4/best.pt,0.09172221775131158,0.10703675203643659,0.05252185469273889,0.07523463452412371,0.00029896410963151576,0.0006389566369501438,0.0044888052637750775,0.043715070630364415,0.0011136204836521863
onpolicy_flowmap/nfe30_h64_s60_e4,release/checkpoints/onpolicy_flowmap/nfe30_h64_s60_e4/best.pt,0.1322202806832748,0.1223626994557977,0.05451563911434638,0.09808745685272098,0.0006230497029593883,0.0009544584206259514,0.008101595819223619,0.1473770816127764,0.0022257987589039746
